split,style,balanced,mode,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count,first_layer_metrics,second_layer_metrics
"(2, 2)",side_rows,True,strong,25993.97,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30150, 'max_high_standard_layer_area_cm2': 30150}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30150, 'max_high_standard_layer_area_cm2': 30150}"
"(2, 2)",side_rows,True,strong,23993.11,276,24,{'G3': 24},138,138,"{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}",0.6628995684295224,0.3125,156.25,6,2,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 34450, 'max_high_standard_layer_area_cm2': 34450}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 34450, 'max_high_standard_layer_area_cm2': 34450}"
"(2, 2)",side_rows,True,area_first,21987.725,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,150.0,8,0,8,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 61375, 'max_high_standard_layer_area_cm2': 61375}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 61375, 'max_high_standard_layer_area_cm2': 61375}"
"(2, 2)",side_rows,True,area_first,25989.92,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 50400, 'max_high_standard_layer_area_cm2': 50400}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 50400, 'max_high_standard_layer_area_cm2': 50400}"
"(2, 2)",side_rows,True,area_first,25991.0,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 45000, 'max_high_standard_layer_area_cm2': 45000}","{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 45000, 'max_high_standard_layer_area_cm2': 45000}"
"(4, 4)",side_rows,False,moderate,19158.633254542983,281,19,{'G3': 19},105,176,"{'G2': 10, 'G3': 4, 'G4': 40, 'G5': 37, 'G1': 14}","{'G2': 90, 'G3': 7, 'G5': 13, 'G1': 66}",0.681186453075854,0.31875,150.0,11,3,8,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 19200, 'max_high_standard_layer_area_cm2': 19200}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 36000, 'max_high_standard_layer_area_cm2': 36000}"
"(4, 4)",side_rows,False,moderate,20134.21525457956,280,20,{'G3': 20},110,170,"{'G2': 29, 'G3': 4, 'G4': 40, 'G5': 37}","{'G2': 71, 'G3': 6, 'G5': 13, 'G1': 80}",0.6775290761465877,0.3175,150.0,10,2,8,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 16250, 'max_high_standard_layer_area_cm2': 16250}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 51975, 'max_high_standard_layer_area_cm2': 51975}"
"(4, 4)",side_rows,False,moderate,22086.581380947155,278,22,{'G3': 22},156,122,"{'G2': 75, 'G3': 4, 'G5': 50, 'G4': 27}","{'G2': 25, 'G3': 4, 'G4': 13, 'G1': 80}",0.670214322288055,0.315,200.0,8,0,8,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 14875, 'max_high_standard_layer_area_cm2': 14875}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 39000, 'max_high_standard_layer_area_cm2': 39000}"
"(4, 4)",side_rows,False,strong,19158.633254542983,281,19,{'G3': 19},105,176,"{'G2': 10, 'G3': 4, 'G4': 40, 'G5': 37, 'G1': 14}","{'G2': 90, 'G3': 7, 'G5': 13, 'G1': 66}",0.681186453075854,0.31875,150.0,11,3,8,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 19200, 'max_high_standard_layer_area_cm2': 19200}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 36000, 'max_high_standard_layer_area_cm2': 36000}"
"(4, 4)",side_rows,False,strong,20134.21525457956,280,20,{'G3': 20},110,170,"{'G2': 29, 'G3': 4, 'G4': 40, 'G5': 37}","{'G2': 71, 'G3': 6, 'G5': 13, 'G1': 80}",0.6775290761465877,0.3175,150.0,10,2,8,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 16250, 'max_high_standard_layer_area_cm2': 16250}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 51975, 'max_high_standard_layer_area_cm2': 51975}"
